
de_cpu_guest_seconds_total	node_cpu_seconds_total	node_disk_io_now	node_intr_total
5.1	20.5	1	4.9
4.1	16.3	1	6.1
9.1	36.5	1	2.7
2.3	9.2	1	10.9
1.6	6.4	1	15.7
6.6	26.3	1	3.8
8	31.9	1	3.1
7.8	31.1	1	3.2
7	28	1	3.6
7	28	1	3.6
9.6	38.4	1	2.6
2	8	1	12.5
7.1	28.5	1	3.5
7.3	29.2	1	3.4
1.9	7.6	1	13.1
0.5	2.1	1	46.8
6.7	26.8	1	3.7
7.2	29	1	3.5
0.8	3.2	1	31.1
7.3	29.1	1	3.4
9.3	37.1	1	2.7
3.7	14.6	1	6.8
5.9	23.6	1	4.2
6.7	26.6	1	3.8
5.1	20.5	1	4.9
8.6	34.3	1	2.9
6.6	26.5	1	3.8
4.3	17	1	5.9
9.4	37.5	1	2.7
8.8	35.3	1	2.8
8.7	34.9	1	2.9
5.2	20.8	1	4.8
0.2	0.9	1	114.1
4.5	18	1	5.5
2.7	10.8	1	9.3
9	36.1	1	2.8
0.9	3.5	1	28.6
8.6	34.5	1	2.9
6.5	26.2	1	3.8
8.5	33.9	1	3
5.3	21.2	1	4.7
6.4	25.5	1	3.9
5.4	21.7	1	4.6
7.3	29.3	1	3.4
4.5	17.9	1	5.6
4.3	17.1	1	5.9
7.4	29.7	1	3.4
6.9	27.6	1	3.6
6.8	27.1	1	3.7
2.3	9.1	1	10.9
0.3	1.1	1	89.3
6	24	1	4.2
0.9	3.8	1	26.4
1.4	5.7	1	17.7
8.1	32.5	1	3.1
2.4	9.6	1	10.4
1.6	6.5	1	15.4
4.6	18.4	1	5.4
2.3	9	1	11.1
3.4	13.7	1	7.3
9.2	36.6	1	2.7
3.2	12.9	1	7.8
8.8	35.2	1	2.8
4.2	16.9	1	5.9
6.2	24.7	1	4.1
4.4	17.5	1	5.7
6.5	26	1	3.8
5	19.8	1	5
6.7	26.8	1	3.7
7.8	31.1	1	3.2
4.5	17.9	1	5.6
3.2	12.7	1	7.9
7.2	28.7	1	3.5
0.2	1	1	102.3
0.9	3.6	1	27.7
4.2	16.7	1	6
0.4	1.6	1	61.6
8.2	32.6	1	3.1
9.9	39.8	1	2.5
9.5	38	1	2.6
0.4	1.8	1	56.4
6.9	27.5	1	3.6
0.7	2.6	1	38
0.3	1.2	1	82
3.8	15.1	1	6.6
5.9	23.5	1	4.3
6.4	25.5	1	3.9
4.5	18	1	5.6
1.8	7.4	1	13.6
2	8	1	12.5
7.8	31.1	1	3.2
8.5	33.8	1	3
4.4	17.8	1	5.6
6.8	27.2	1	3.7
4.5	18.1	1	5.5
3.1	12.3	1	8.1
8.8	35.1	1	2.8
6.5	25.9	1	3.9
8.9	35.6	1	2.8
7.7	31	1	3.2
2.8	11	1	9.1
1.2	4.6	1	21.7
2.6	10.4	1	9.6
5.8	23.2	1	4.3
6.9	27.6	1	3.6
2.6	10.3	1	9.7
9.7	38.8	1	2.6
2.8	11.3	1	8.8
3.9	15.4	1	6.5
4.6	18.4	1	5.4
4.9	19.4	1	5.2
1.8	7.1	1	14
3.4	13.4	1	7.4
2.1	8.4	1	11.9
0.1	0.3	1	291.5
7.5	30	1	3.3
3.3	13.2	1	7.6
6.9	27.7	1	3.6
3.3	13.2	1	7.6
3.7	14.7	1	6.8
9.1	36.5	1	2.7
4.7	19	1	5.3
3.7	15	1	6.7
5.6	22.4	1	4.5
2.5	10.1	1	9.9
8.9	35.5	1	2.8
3.3	13	1	7.7
5.5	22	1	4.5
5	20.1	1	5
6.1	24.4	1	4.1
7.8	31.3	1	3.2
6.8	27.3	1	3.7
8.1	32.2	1	3.1
2.3	9.4	1	10.7
7.9	31.5	1	3.2
5.1	20.3	1	4.9
1.6	6.4	1	15.5
9.7	39	1	2.6
6.1	24.5	1	4.1
4.8	19	1	5.3
8.1	32.6	1	3.1
1.5	6.1	1	16.4
0.5	2.2	1	46.3
3.9	15.8	1	6.3
2.8	11	1	9.1
5.7	22.6	1	4.4
2.7	10.7	1	9.3
7.6	30.4	1	3.3
0.9	3.4	1	29.1
5.7	22.9	1	4.4
7.1	28.5	1	3.5
9.2	36.6	1	2.7
4.7	18.9	1	5.3
3.3	13	1	7.7
6.1	24.2	1	4.1
9.5	38.2	1	2.6
5.3	21.3	1	4.7
7.3	29	1	3.4
9.5	37.9	1	2.6
6.2	24.8	1	4
0	0.2	1	584.8
5.9	23.4	1	4.3
1.7	6.9	1	14.5
1.9	7.5	1	13.3
4.8	19.4	1	5.2
5.6	22.6	1	4.4
6	24.1	1	4.1
9.2	36.9	1	2.7
7.7	30.6	1	3.3
4.3	17.1	1	5.8
7.7	30.8	1	3.3
0.1	0.3	1	330.9
9.3	37.1	1	2.7
4.2	16.8	1	6
6.2	24.8	1	4
2.6	10.2	1	9.8
9	35.8	1	2.8
7.2	28.8	1	3.5
3.1	12.3	1	8.1
9.4	37.6	1	2.7
0.6	2.3	1	43.3
8	32.1	1	3.1
7.2	28.8	1	3.5
2	8.1	1	12.3
7	27.9	1	3.6
3.4	13.7	1	7.3
5.5	21.8	1	4.6
9	36.1	1	2.8
4.6	18.4	1	5.4
5.4	21.4	1	4.7
6	24	1	4.2
1.5	6.1	1	16.3
5.2	20.8	1	4.8
6.1	24.5	1	4.1
7.3	29	1	3.4
0.8	3.2	1	31.6
4.6	18.5	1	5.4
4.9	19.6	1	5.1
7.3	29.1	1	3.4
7	27.9	1	3.6
7.9	31.8	1	3.1
0.2	0.8	1	132.3
